Ind_ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Is high risk,Age_date
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,2036-07-27 11:11:26.391727,1,0,0,0,Cleaning staff,2,1,2056-06-08 11:02:46.471042
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,2030-01-24 11:11:26.391727,1,0,0,0,Laborers,1,1,2052-12-09 11:02:46.471042
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,2024-07-24 11:11:26.391727,1,1,0,0,Sales staff,3,1,2067-03-09 11:02:46.471042
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,2033-06-30 11:11:26.391727,1,0,0,0,Laborers,2,1,2059-02-22 11:02:46.471042
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,2027-09-29 11:11:26.391727,1,0,0,0,Drivers,2,1,2079-03-07 11:02:46.471042
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,2025-09-21 11:11:26.391727,1,0,0,0,Drivers,2,1,2081-02-26 11:02:46.471042
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2027-01-11 11:11:26.391727,1,0,1,0,Laborers,2,1,2076-01-04 11:02:46.471042
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2029-09-21 11:11:26.391727,1,0,1,0,Low-skill Laborers,3,1,2065-11-08 11:02:46.471042
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2029-09-21 11:11:26.391727,1,0,1,0,Low-skill Laborers,3,1,2065-11-08 11:02:46.471042
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2034-10-10 11:11:26.391727,1,0,0,0,Accountants,3,1,2075-03-15 11:02:46.471042
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2026-09-09 11:11:26.391727,1,0,0,0,Laborers,3,1,2053-11-16 11:02:46.471042
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2026-09-09 11:11:26.391727,1,0,0,0,Laborers,3,1,2053-11-16 11:02:46.471042
5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,2043-06-19 11:11:26.391727,1,1,0,0,Laborers,2,1,2073-09-08 11:02:46.471042
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,2043-06-19 11:11:26.391727,1,1,0,0,Laborers,2,1,2073-09-08 11:02:46.471042
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,2023-12-19 11:11:26.391727,1,1,1,0,High skill tech staff,1,1,2055-04-19 11:02:46.471042
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,2025-11-18 11:11:26.391727,1,0,0,0,Laborers,3,1,2049-10-11 11:02:46.471042
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,2025-11-18 11:11:26.391727,1,0,0,0,Laborers,3,1,2049-10-11 11:02:46.471042
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,2025-01-20 11:11:26.391727,1,0,0,1,IT staff,2,1,2051-12-22 11:02:46.471042
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,2025-01-20 11:11:26.391727,1,0,0,1,IT staff,2,1,2051-12-22 11:02:46.471042
5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,2032-09-22 11:11:26.391727,1,0,0,0,Drivers,2,1,2072-07-23 11:02:46.471042
5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,2032-09-22 11:11:26.391727,1,0,0,0,Drivers,2,1,2072-07-23 11:02:46.471042
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,2032-09-22 11:11:26.391727,1,0,0,0,Drivers,2,1,2072-07-23 11:02:46.471042
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2029-05-25 11:11:26.391727,1,1,0,0,Managers,2,1,2074-08-14 11:02:46.471042
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,2027-07-03 11:11:26.391727,1,0,0,0,Drivers,3,1,2068-06-23 11:02:46.471042
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,2027-07-03 11:11:26.391727,1,0,0,0,Drivers,1,1,2068-06-23 11:02:46.471042
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,2027-10-20 11:11:26.391727,1,0,0,1,Waiters/barmen staff,3,1,2048-06-26 11:02:46.471042
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,2023-11-20 11:11:26.391727,1,0,0,0,Laborers,2,1,2058-12-16 11:02:46.471042
5062137,M,N,Y,1,191399.3262295082,Working,Secondary / secondary special,Single / not married,House / apartment,2023-11-20 11:11:26.391727,1,0,0,0,Laborers,2,1,2058-12-16 11:02:46.471042
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,2034-05-23 11:11:26.391727,1,0,0,0,High skill tech staff,2,1,2065-01-06 11:02:46.471042
5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2027-10-23 11:11:26.391727,1,0,0,0,Laborers,2,1,2075-07-17 11:02:46.471042
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,2031-05-23 11:11:26.391727,1,0,0,0,Laborers,3,1,2049-07-19 11:02:46.471042
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,2023-11-23 11:11:26.391727,1,0,1,0,Sales staff,2,1,2061-12-25 11:02:46.471042
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2030-07-25 11:11:26.391727,1,0,0,0,Laborers,2,1,2060-09-10 11:02:46.471042
5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,2028-09-22 11:11:26.391727,1,0,0,0,Core staff,1,1,2076-05-13 11:02:46.471042
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,2028-03-25 11:11:26.391727,1,1,0,0,Accountants,2,1,2054-03-15 11:02:46.471042
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,2028-03-25 11:11:26.391727,1,1,0,0,Accountants,2,1,2054-03-15 11:02:46.471042
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,2027-02-23 11:11:26.391727,1,0,0,0,Core staff,2,1,2066-05-01 11:02:46.471042
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2037-03-01 11:11:26.391727,1,0,0,0,High skill tech staff,4,1,2063-02-22 11:02:46.471042
5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,2033-01-30 11:11:26.391727,1,1,0,0,Laborers,3,1,2057-01-21 11:02:46.471042
5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,2033-01-30 11:11:26.391727,1,1,0,0,Laborers,3,1,2057-01-21 11:02:46.471042
5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,2027-04-30 11:11:26.391727,1,0,0,0,Laborers,2,1,2061-01-27 11:02:46.471042
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,2027-04-30 11:11:26.391727,1,0,0,0,Laborers,2,1,2061-01-27 11:02:46.471042
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,2027-04-30 11:11:26.391727,1,0,0,0,Laborers,2,1,2061-01-27 11:02:46.471042
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,2026-12-22 11:11:26.391727,1,0,0,0,Managers,2,1,2074-08-08 11:02:46.471042
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,2030-06-10 11:11:26.391727,1,1,1,0,Accountants,2,1,2078-12-28 11:02:46.471042
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2029-04-10 11:11:26.391727,1,0,0,0,Laborers,3,1,2058-06-07 11:02:46.471042
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,2024-02-08 11:11:26.391727,1,0,0,0,Laborers,2,1,2052-11-02 11:02:46.471042
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,2024-02-08 11:11:26.391727,1,0,0,0,Laborers,2,1,2052-11-02 11:02:46.471042
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,2024-12-22 11:11:26.391727,1,0,0,0,Laborers,4,1,2070-12-06 11:02:46.471042
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,2042-04-23 11:11:26.391727,1,0,0,0,Core staff,3,1,2064-08-13 11:02:46.471042
5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,2025-02-09 11:11:26.391727,1,0,0,0,Core staff,1,1,2078-04-20 11:02:46.471042
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,2025-02-09 11:11:26.391727,1,0,0,0,Core staff,1,1,2078-04-20 11:02:46.471042
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,2029-08-10 11:11:26.391727,1,1,1,0,Cleaning staff,1,1,2069-07-07 11:02:46.471042
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,2025-03-10 11:11:26.391727,1,0,0,0,Laborers,1,1,2068-03-01 11:02:46.471042
5105056,M,Y,N,0,191399.3262295082,Commercial associate,Higher education,Single / not married,Municipal apartment,2025-03-03 11:11:26.391727,1,0,1,1,High skill tech staff,1,1,2055-01-27 11:02:46.471042
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2042-07-10 11:11:26.391727,1,0,0,0,Medicine staff,2,1,2077-08-15 11:02:46.471042
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,2024-06-16 11:11:26.391727,1,0,0,0,Security staff,1,1,2076-08-22 11:02:46.471042
5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,2028-06-17 11:11:26.391727,1,1,1,0,Laborers,3,1,2054-07-14 11:02:46.471042
5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,2028-06-17 11:11:26.391727,1,1,1,0,Laborers,3,1,2054-07-14 11:02:46.471042
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,2032-11-15 11:11:26.391727,1,0,0,0,Core staff,2,1,2063-04-10 11:02:46.471042
5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,2032-11-15 11:11:26.391727,1,0,0,0,Core staff,2,1,2063-04-10 11:02:46.471042
5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,2032-11-15 11:11:26.391727,1,0,0,0,Core staff,2,1,2063-04-10 11:02:46.471042
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,2032-11-15 11:11:26.391727,1,0,0,0,Core staff,2,1,2063-04-10 11:02:46.471042
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,2032-11-15 11:11:26.391727,1,0,0,0,Core staff,2,1,2063-04-10 11:02:46.471042
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,2025-11-15 11:11:26.391727,1,1,0,0,Managers,1,1,2063-04-09 11:02:46.471042
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,2025-11-15 11:11:26.391727,1,1,0,0,Managers,1,1,2063-04-09 11:02:46.471042
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2034-04-10 11:11:26.391727,1,1,1,0,Laborers,3,1,2059-03-01 11:02:46.471042
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,2026-05-10 11:11:26.391727,1,0,1,0,Laborers,2,1,2073-02-25 11:02:46.471042
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,2023-11-17 11:11:26.391727,1,0,0,0,Laborers,2,1,2061-09-03 11:02:46.471042
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,2025-03-19 11:11:26.391727,1,0,1,0,High skill tech staff,2,1,2068-06-12 11:02:46.471042
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,2025-03-19 11:11:26.391727,1,0,1,0,High skill tech staff,2,1,2068-06-12 11:02:46.471042
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,2027-11-17 11:11:26.391727,1,0,0,0,Cooking staff,1,1,2072-11-05 11:02:46.471042
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2027-12-18 11:11:26.391727,1,0,1,0,Laborers,3,1,2059-03-09 11:02:46.471042
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,2028-08-16 11:11:26.391727,1,1,0,0,Sales staff,4,1,2050-07-06 11:02:46.471042
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,2025-01-11 11:11:26.391727,1,0,0,0,Security staff,2,1,2078-07-20 11:02:46.471042
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,2025-01-11 11:11:26.391727,1,0,0,0,Security staff,2,1,2078-07-20 11:02:46.471042
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,2025-01-11 11:11:26.391727,1,0,0,0,Security staff,2,1,2078-07-20 11:02:46.471042
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,2028-10-22 11:11:26.391727,1,0,0,0,Core staff,1,1,2052-09-11 11:02:46.471042
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,2028-10-22 11:11:26.391727,1,0,0,0,Core staff,1,1,2052-09-11 11:02:46.471042
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,2026-01-22 11:11:26.391727,1,1,1,0,Laborers,2,1,2075-01-30 11:02:46.471042
5142183,M,Y,Y,2,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,2035-04-19 11:11:26.391727,1,1,1,0,Managers,4,1,2072-05-10 11:02:46.471042
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,2026-01-16 11:11:26.391727,1,1,1,0,Drivers,3,1,2067-11-16 11:02:46.471042
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,2026-01-16 11:11:26.391727,1,1,1,0,Drivers,3,1,2067-11-16 11:02:46.471042
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,2024-11-16 11:11:26.391727,1,0,1,0,Core staff,1,1,2075-05-26 11:02:46.471042
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,2024-11-16 11:11:26.391727,1,0,1,0,Core staff,1,1,2075-05-26 11:02:46.471042
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,2024-11-16 11:11:26.391727,1,0,1,0,Core staff,1,1,2075-05-26 11:02:46.471042
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,2030-02-17 11:11:26.391727,1,0,0,1,Laborers,3,1,2058-12-15 11:02:46.471042
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,2024-01-11 11:11:26.391727,1,0,0,1,Managers,1,1,2051-05-17 11:02:46.471042
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,2026-08-11 11:11:26.391727,1,1,1,0,Sales staff,3,1,2058-05-06 11:02:46.471042
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,2028-05-10 11:11:26.391727,1,0,0,0,Security staff,2,1,2079-01-29 11:02:46.471042
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,2026-01-10 11:11:26.391727,1,0,1,0,Managers,1,1,2062-12-02 11:02:46.471042
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,2026-06-21 11:11:26.391727,1,0,0,0,Security staff,2,1,2070-08-17 11:02:46.471042
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,2026-06-21 11:11:26.391727,1,0,0,0,Security staff,2,1,2070-08-17 11:02:46.471042
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,2030-02-19 11:11:26.391727,1,0,0,0,Managers,2,1,2071-01-03 11:02:46.471042
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,2027-02-20 11:11:26.391727,1,0,1,1,Medicine staff,2,1,2057-06-04 11:02:46.471042
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,2027-02-20 11:11:26.391727,1,0,1,1,Medicine staff,2,1,2057-06-04 11:02:46.471042
5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,2040-12-10 11:11:26.391727,1,1,1,0,Cleaning staff,3,0,2066-08-18 11:02:46.471042
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2030-04-24 11:11:26.391727,1,0,0,0,Laborers,2,0,2072-02-21 11:02:46.471042
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,2024-06-11 11:11:26.391727,1,0,1,1,Sales staff,2,0,2058-12-15 11:02:46.471042
5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,2031-11-15 11:11:26.391727,1,0,0,1,Private service staff,3,0,2068-06-14 11:02:46.471042
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2031-09-09 11:11:26.391727,1,0,0,0,Sales staff,3,0,2063-05-07 11:02:46.471042
5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,2029-05-03 11:11:26.391727,1,0,0,0,Laborers,2,0,2071-01-20 11:02:46.471042
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,2025-10-03 11:11:26.391727,1,1,0,0,Core staff,2,0,2054-10-23 11:02:46.471042
5033574,F,Y,Y,1,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,2023-11-24 11:11:26.391727,1,1,1,0,Cooking staff,3,0,2062-06-13 11:02:46.471042
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,2028-02-22 11:11:26.391727,1,1,0,0,Laborers,3,0,2052-06-24 11:02:46.471042
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,2028-02-04 11:11:26.391727,1,0,0,1,Core staff,2,0,2082-05-20 11:02:46.471042
5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,2025-05-29 11:11:26.391727,1,0,0,0,Laborers,1,0,2063-11-19 11:02:46.471042
5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2025-01-23 11:11:26.391727,1,0,0,0,Laborers,1,0,2063-11-29 11:02:46.471042
5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,2025-12-07 11:11:26.391727,1,0,0,0,Sales staff,1,0,2052-11-21 11:02:46.471042
5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,2031-02-03 11:11:26.391727,1,0,0,0,Laborers,2,0,2057-11-19 11:02:46.471042
5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,2027-09-30 11:11:26.391727,1,0,0,0,Core staff,2,0,2056-10-14 11:02:46.471042
5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,2032-03-19 11:11:26.391727,1,0,0,0,Laborers,2,0,2063-04-29 11:02:46.471042
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,2037-10-04 11:11:26.391727,1,1,1,0,Core staff,2,0,2059-12-19 11:02:46.471042
5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,2031-12-03 11:11:26.391727,1,0,1,0,Laborers,2,0,2071-10-15 11:02:46.471042
5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,2024-05-21 11:11:26.391727,1,0,0,0,Security staff,4,0,2050-08-12 11:02:46.471042
5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,2025-02-08 11:11:26.391727,1,0,0,0,Laborers,2,0,2067-06-05 19:15:21.385852
5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,2025-10-17 11:11:26.391727,1,0,0,0,Laborers,2,0,2051-01-26 11:02:46.471042
5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2026-06-25 11:11:26.391727,1,0,1,0,Laborers,2,0,2068-10-18 11:02:46.471042
5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,2027-05-05 11:11:26.391727,1,0,0,1,Laborers,4,0,2058-09-17 11:02:46.471042
5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,2028-04-18 11:11:26.391727,1,0,0,0,Laborers,3,0,2056-04-13 11:02:46.471042
5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,2025-11-27 11:11:26.391727,1,1,0,1,High skill tech staff,2,0,2078-07-29 11:02:46.471042
5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,2031-03-11 11:11:26.391727,1,1,1,0,Private service staff,4,0,2062-03-15 11:02:46.471042
5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,2030-04-17 11:11:26.391727,1,0,0,0,Managers,4,0,2059-07-31 11:02:46.471042
5085769,F,N,Y,0,191399.3262295082,Commercial associate,Secondary / secondary special,Married,House / apartment,2027-07-22 11:11:26.391727,1,0,0,0,Cleaning staff,2,0,2076-05-18 11:02:46.471042
5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,2028-05-22 11:11:26.391727,1,0,1,0,Core staff,2,0,2052-04-16 11:02:46.471042
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2024-09-09 11:11:26.391727,1,0,0,0,Core staff,2,0,2064-12-01 11:02:46.471042
5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,2027-05-22 11:11:26.391727,1,1,0,0,Drivers,2,0,2075-01-03 11:02:46.471042
5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,2024-03-25 11:11:26.391727,1,0,0,0,Laborers,4,0,2061-10-03 11:02:46.471042
5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,2029-12-10 11:11:26.391727,1,0,1,0,Laborers,1,0,2055-04-30 11:02:46.471042
5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,2024-08-21 11:11:26.391727,1,0,0,0,Drivers,2,0,2053-06-20 11:02:46.471042
5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,2042-11-11 11:11:26.391727,1,0,0,0,Medicine staff,4,0,2062-09-20 11:02:46.471042
5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,2028-05-27 11:11:26.391727,1,0,0,0,Sales staff,2,0,2070-08-10 11:02:46.471042
